english,engtrans,arabic,hindi,urdu,cue
"It is Your concealing my faults that makes me act shamelessly before You.","wa yadeenee ila qillati alhaya'i sitruka `alayya","وَيَدْعُونِي إِلَىٰ قِلَّةِ ٱلْحَيَاءِ سِتْرُكَ عَلَيَّ",""," تیرا میری پرداپوشی کرنا مجھے میں حیاء کی کمی کا موجب بنا ہے",""
"It is my acquaintance with the broadness of Your mercy and the magnitude of Your pardon that make me hurry to violate that which You have deemed forbidden.","wa yusri`unee ila alttawaththubi `ala maharimika ma`rifatee bias`ati rahmatika wa `a¨eemi `afwika","وَيُسْرِعُنِي إِلَىٰ ٱلتَوَثُّبِ عَلَىٰ مَحَارِمِكَ مَعْرِفَتِي بِسَعَةِ رَحْمَتِكَ وَعَظِيمِ عَفْوِكَ","","اور تیری وسیع رحمت اور عظیم عفو کی مغفرت کے باعث  میں تیرے حرام کئے ہوئے کاموں کی طرف جلدی کرتا ہوں",""
"O Indulgent! O Compassionate!","ya haleemu ya kareemu","يَا حَلِيمُ يَا كَرِيمُ","","اے نرم خو اے مہربان",""
"O Ever-living! O Self-subsistent!","ya hayyu ya qayyumu","يَا حَيُّ يَا قَيُّومُ","","اے زندہ اے نگہبان ",""
"O Forgiver of sins!","ya ghafira aldhdhanbi","يَا غَافِرَ ٱلذَّنْبِ","","اے گناہ معاف کرنے والے",""
"O Accepter of repentance!","ya qabila alttawbi","يَا قَابِلَ ٱلتَّوْبِ","","اے توبہ قبول کرنے والے",""
"O Owner of matchless bounties!","ya `a¨eema almanni","يَا عَظِيمَ ٱلْمَنِّ","","اے عظیم عطا  والے",""
"O He who has been doing favors since eternity!","ya qadeema al-ihsani","يَا قَدِيمَ ٱلإِحْسَانِ","","اے قدیم احسان والے",""
"Where is Your magnificent concealment (of one’s faults)?","ayna sitruka aljameelu","ايْنَ سِتْرُكَ ٱلْجَمِيلُ","","کہاں ہے تیری بہترین پردہ پوشی",""
"Where is Your irreversible pardon?","ayna `afwuka aljaleelu","ايْنَ عَفْوُكَ ٱلْجَلِيلُ","","کہاں ہے تیرا بلندتر عفو،",""
"Where is Your abrupt relief?","ayna farajuka alqareebu","ايْنَ فَرَجُكَ ٱلْقَرِيبُ","","کہاں ہے تیری قریب تر کشائش",""
"Where is Your immediate aid?","ayna ghiyathuka alssaree`u","ايْنَ غِيَاثُكَ ٱلسَّرِيعُ","","کہاں ہے تیری فوری فریاد رسی",""
"Where is Your boundless mercy?","ayna rahmatuka alwasi`atu","ايْنَ رَحْمَتُكَ ٱلْوَاسِعَةُ","","کہاں ہے تیری وسیع تر رحمت ",""
"Where is Your overflowing gifts?","ayna `atayaka alfailatu","ايْنَ عَطَايَاكَ ٱلْفَاضِلَةُ","","کہاں ہے تیری بہترین عطائیں",""
"Where are Your pleasant endowments?","ayna mawahibuka alhanee'atu","ايْنَ مَوَاهِبُكَ ٱلْهَنِيئَةُ","","کہاں ہے تیری خوشگوار بخششیں ",""
"Where are Your beautiful benefits?","ayna ¥ana'i`uka alssaniyyatu","ايْنَ صَنَائِعُكَ ٱلسَّنِيَّةُ","","کہاں ہیں تیرے شاندار انعامات ",""
"Where is Your outstanding grace?","ayna faluka al`a¨eemu","ايْنَ فَضْلُكَ ٱلْعَظِيمُ","","کہاں ہے تیرا باعظمت فضل",""
"Where are Your giant bounties?","ayna mannuka aljaseemu","ايْنَ مَنُّكَ ٱلْجَسِيمُ","","کہاں ہے تیری عظیم بخشش",""
"Where are Your eternal favors?","ayna ihsanuka alqadeemu","ايْنَ إِحْسَانُكَ ٱلْقَدِيمُ","","کہاں ہے تیرا قدیم احسان",""
"Where is Your generous liberality? O Generous Giver!","ayna karamuka ya kareemu","ايْنَ كَرَمُكَ يَا كَرِيمُ","","کہاں ہے تیری مہربانی- اے مہربان",""
"In Your name and in the name of Muhammad and the Household of Muhammad, save me!","bihee wa bimuhammadin wa ali muhammadin fastanqidhnee","بِهِ وَبِمُحَمَّدٍ وَآلِ مُحَمَّدٍ فَٱسْتَنْقِذْنِي","","اپنی مہربانی سے موہممد (ص) و آل محمّد (ع) کے صدقے مجھے عذاب سے نکال",""
"In the name of Your mercy, deliver me!","wa birahmatika fakhalli¥nee","وَبِرَحْمَتِكَ فَخَلِّصْنِي","","اور اپنی رحمت سے مجھے اس سے رہائی دے",""
"O All-benevolent!","ya muhsinu","يَا مُحْسِنُ","","اے نیکوکار",""
"O All-beneficent!","ya mujmilu","يَا مُجْمِلُ",""," اے خوش صفات",""
"O All-gracious! O All-compassionate!","ya mun`imu ya mufilu","يَا مُنْعِمُ يَا مُفْضِلُ",""," اے نعمت دینے والے  اے بلندی دینے والے",""
"In my salvation from Your punishment, I do not rely upon my deeds;","lastu attakilu fee alnnajati min `iqabika `ala a`malina","لَسْتُ اتَّكِلُ فِي ٱلنَّجَاةِ مِنْ عِقَابِكَ عَلَىٰ اعْمَالِنَا","","تیری سزا سے بچنے میں مجھے اپنے اعمال پر کچھ بھی بھروسہ نہیں",""
"rather, I depend on Your liberal generosity to us,","bal bifalika `alayna","بَلْ بِفَضْلِكَ عَلَيْنَا","","بلکی تیرے فضل کا سہارا ہے جو ہم پر ہے",""
"because You are verily the Lord of righteousness and the Lord of forgiveness.","li'annaka ahlu alttaqwa wa ahlu almaghfirati","لانَّكَ اهْلُ ٱلتَّقْوَىٰ وَاهْلُ ٱلْمَغْفِرَةِ","","کیونکہ تو گناہ سے بچا لینے والا اور گناہ بخش دینے والا ہے",""
"You take the initiative in doing good out of Your graciousness","tubdi'u bil-ihsani ni`aman","تُبْدِئُ بِٱلإِحْسَانِ نِعَماً","","تو احسان کے ساتھ نعمتوں کے آغاز کرتا",""
"and overlook the sins out of Your generosity.","wa ta`fu `an aldhdhanbi karaman","وَتَعْفُو عَنِ ٱلذَّنْبِ كَرَماً","","اور مہربانی کرتے ہوئے گناہ کی معافی دیتا ہے",""
"We thus do not know which of Your graces we should thank:","fama nadree ma nashkuru"," فَمَا نَدْرِي مَا نَشْكُرُ","","پس ہم نہیں جانتے کہ کس بات پر شکر کریں",""
"should it be the handsome elegance that you spread over us, or our offensive deeds that you conceal?","ajameela ma tanshuru am qabeeha ma tasturu","اجَمِيلَ مَا تَنْشُرُ امْ قَبِيحَ مَا تَسْتُرُ","","آیا تیری نیکی ظاہر کرنے پر - یا برائی کی پردہ پوشی پر",""
"Or should it be the fabulous favor that You grant and present,","am `a¨eema ma ablayta wa awlayta","امْ عَظِيمَ مَا ابْلَيْتَ وَاوْلَيْتَ","","یا بہت بڑی غم خواری اور عطاۓ نعمت پر شکر کریں",""
"or the numerous misfortunes from which You have saved and relieved?","am katheera ma minhu najjayta wa `afayta","امْ كَثِيرَ مَا مِنْهُ نَجَّيْتَ وَعَافَيْتَ","","یا بہت چیزوں سے تیرے نجات عطا کرنے اور امن دینے پر شکر کریں",""
"O Beloved of those who endear themselves to Him!","ya habeeba man tahabbaba ilayka","يَا حَبِيبَ مَنْ تَحَبَّبَ إِلَيْكَ","","اے اسکے دوست جو تجھ سے دوستی کرے ",""
"O delight of the eyes of those who resort to Him and communicate Him incessantly!","wa ya qurrata `ayni man ladha bika wa inqata`a ilayka","وَيَا قُرَّةَ عَيْنِ مَنْ لاَذَ بِكَ وَٱنْقَطَعَ إِلَيْكَ","","اور اے اسکا نور چشم جو تیری پناہ لے اور سب سے کٹ کر ترا ہی ہو جائے",""
"You are the All-benevolent and we are the malevolent.","anta lmuhsinu wa nahnu almusee'una","انْتَ ٱلْمُحْسِنُ وَنَحْنُ ٱلْمُسِيئُونَ","","تو بھلائی کرنے والا اور ہم برائی کرنے والے ہیں،",""
"So, overlook, O Lord, the offensive that we hold by means of the good that You hold.","fatajawaz ya rabbi `an qabeehi ma `indana bijameeli ma `indaka","فَتَجَاوَزْ يَا رَبِّ عَنْ قَبِيحِ مَا عِنْدَنَا بِجَمِيلِ مَا عِنْدَكَ","","بس اے پالنے والے اپنی بھلائی سے کام لیتے ہوئے ہماری برائی سے در گزر فرما",""
"There is not definitely any foolishness that can be uncovered by Your liberality.","wa ayyu jahlin ya rabbi la yasa`uhu juduka","وَايُّ جَهْلٍ يَا رَبِّ لاَ يَسَعُهُ جُودُكَ","","اے پالنے والے وہ کون سی نادانی ہے جس پر تیرا کرم وسعت نہ رکھتا ہو",""
"There is no period that may be longer than Your tolerance.","aw ayyu zamanin atwalu min anatika","اوْ ايُّ زَمَانٍ اطْوَلُ مِنْ انَاتِكَ","","یا وہ کون سا زمانہ ہے جو  تیری مہلت سے دراز ہو",""
"What value remains for our deeds if compared to Your favors?","wa ma qadaru a`malina fee janbi ni`amika","وَمَا قَدْرُ اعْمَالِنَا فِي جَنْبِ نِعَمِكَ","","اور تیری نعمتوں کے سامنے ہمارے اعمال کی کیا وقعت ہے",""
"How can we ever deem much any deeds if compared to Your generosity?","wa kayfa nastakthiru a`malan nuqabilu biha karamaka","وَكَيْفَ نَسْتَكْثِرُ اعْمَالاً نُقَابِلُ بِهَا كَرَمَكَ","","کس طرح ہم اپنے اعمال مے اضافہ کریں کہ انہیں تیرے کرم کے سامنے لا سکیں",""
"Moreover, how may Your broad mercy be narrow for the guilty?","bal kayfa yaeequ `ala almudhnibeena ma wasi`ahum min rahmatika","بَلْ كَيْفَ يَضِيقُ عَلَىٰ ٱلْمُذْنِبِينَ مَا وَسِعَهُمْ مِنْ رَحْمَتِكَ","","بلکہ تیری وو رحمت گنہگاروں پر کیسے تنگ ہو جاےگی جو انپر چھائ ہوئی ہے",""
"O Extensive Forgiver!","ya wasi`a almaghfirati","يَا وَاسِعَ ٱلْمَغْفِرَةِ","","اے وسیع بخشش والے",""
"O He Who extends both hands with mercy!","ya basita alyadayni bilrrahmati","يَا بَاسِطَ ٱلْيَدَيْنِ بِٱلرَّحْمَةِ",""," اے مہربانی سے بہت زیادہ دینے والے",""
"By Your Majesty I swear, O my Lord,","fawa`izzatika ya sayyidee","فَوَعِزَّتِكَ يَا سَيِّدِي","","پاس تیری عزت کا، قسم اے میرے آقا!",""
"even if you chide me, I shall never leave Your Door","law nahartanee ma barihtu min babika","لَوْ نَهَرْتَنِي مَا بَرِحْتُ مِنْ بَابِكَ","","تو دھکارے ٹیب بھی میں تیرے دروازے سے نہ ہٹونگا",""
"and I shall never stop flattering You!","wa la kafaftu `an tamalluqika","وَلاَ كَفَفْتُ عَنْ تَمَلُّقِكَ","","میں اپنی زبان کو تیری تعریف و توصیف سے نہ روکوں گا",""
"This is because I have full acquaintance with Your (indescribable) generosity and bounty.","lima intaha ilayya min alma`rifati bijudika wa karamika","لِمَا ٱنْتَهَىٰ إِلَيَّ مِنَ ٱلْمَعْرِفَةِ بِجُودِكَ وَكَرَمِكَ",""," چونکہ مجھے تیرے جود و کرم کی مغفرت ہے",""
"Verily, You do whatever You will.","wa anta alfa`ilu lima tasha'u","وَانْتَ ٱلْفَاعِلُ لِمَا تَشَاءُ","","تو جو چاہے کر گزرتا ہے ",""
"You punish whomsoever You want however You want by whatever means You want.","tu`adhdhibu man tasha'u bima tasha'u kayfa tasha'u","تُعَذِّبُ مَنْ تَشَاءُ بِمَا تَشَاءُ كَيْفَ تَشَاءُ","","تو جسے چاہے، جس چیز سے چاہے اور جیسے چاہے عذاب دیتا ہے",""
"You have mercy upon whomsoever You want however You want by whatever means You want.","wa tarhamu man tasha'u bima tasha'u kayfa tasha'u","وَتَرْحَمُ مَنْ تَشَاءُ بِمَا تشَاءُ كَيْفَ تَشَاءُ",""," اور تو جس پر چاہے جس چیز سے چاہے اور جیسے چاہے رحم کرتا ہے",""
"None is supposed to interrogate You for whatever You do,","la tus'alu `an fee`lika","لاَ تُسْالُ عَنْ فِعْلِكَ","","تیرے فعل پر پوچھ گوچھ نہیں کی جا سکتی",""
"non can ever contend with You about Your authority,","wa la tunaza`u fee mulkika","وَلاَ تُنَازَعُ فِي مُلْكِكَ","","تیری سلطنت پر جھگڑا نہیں ہو سکتا",""
"none can ever have a share in that which You hold,","wa la tusharaku fee amrika","وَلاَ تُشَارَكُ فِي امْرِكَ","","اور تیرے کام میں کوئی شریک نہیں",""
"none can ever object to Your decisions,","wa la tuaddu fee hukmika","وَلاَ تُضَادُّ فِي حُكْمِكَ","","تیرے حکم میں کوئی ضدیت نہیں",""
"and none can ever protest against that which You administer.","wa la ya`tariu `alayka ahadun fee tadbeerika","وَلاَ يَعْتَرِضُ عَلَيْكَ احَدٌ فِي تَدْبِيرِكَ","","اور تیری تدبیر میں کوئی تجھ پر اعتراض نہیں کر سکتا",""
"To You alone are creation and determination.","laka alkhalqu wal-amru"," لَكَ ٱلْخَلْقُ وَٱلامْرُ","","تیرے ہی لئے پیدا کرنا اور حکم فرمانا",""
"Blessed be Allah, the Lord of the worlds.","tabaraka allahu rabbu al`alameena","تَبَارَكَ ٱللَّهُ رَبُّ ٱلْعَالَمِينَ","","با برکت ہے وہ الله جو جہانوں کا پالنے والا ہے",""
"O my Lord, this is the manner of one who seeks Your shelter,","ya rabbi hadha maqamu man ladha bika","يَا رَبِّ هٰذَا مَقَامُ مَنْ لاَذَ بِكَ","","اے پروردگار! یہ ہے اس شخص کے مقام جس نے تیری پناہ لی،",""
"resorts to Your liberality,","wastajara bikaramika","وَٱسْتَجَارَ بِكَرَمِكَ","","تیرے سایہ کرم میں آیا",""
"and has been accustomed to be included with Your benevolence and graciousness.","wa alifa ihsanaka wa ni`amaka","وَالِفَ إِحْسَانَكَ وَنِعَمَكَ","","اور تیرے ہی احسان اور نعمت کا خواہاں ہوا ہے",""
"You are certainly the All-munificent Whose amnesty never shrinks,","wa anta aljawadu alladhee la yaeequ `afwuka","وَانْتَ ٱلْجَوَادُ ٱلَّذِي لاَ يَضِيقُ عَفْوُكَ","","اور تو ایسا سخی ہے کہ تیرا دامن عفو و تنگ نہیں ہوتا",""
"Whose favor never reduces,","wa la yanqu¥u faluka","وَلاَ يَنْقُصُ فَضْلُكَ","","تیرے فضل میں کمی نہیں آتی",""
"and Whose mercy never diminishes.","wa la taqillu rahmatuka","وَلاَ تَقِلُّ رَحْمَتُكَ","","اور تیری رحمت  میں کمی نہیں پڑتی",""
"We have full confidence in You on account of Your eternal habit of pardons,","wa qad tawaththaqna minka bil¥¥afhi alqadeemi","وَقَدْ تَوَثَّقْنَا مِنْكَ بِٱلصَّفْحِ ٱلْقَدِيمِ","","ہم نے اعتماد کیا ہے تجھ پر تیری درینہ در گزر  ",""
"boundless kindness, and limitless mercy.","walfali al`a¨eemi walrrahmati alwasi`ati","وَٱلْفَضْلِ ٱلْعَظِيمِ وَٱلرَّحْمَةِ ٱلْوَاسِعَةِ","","عظیم تر فضل و کرم و تیری کشادہ تر رحمت کے ساتھ",""
"Is it ever expectable, O Lord, that You may disappoint us or may act on the contrary of our expectations?","afaturaka ya rabbi tukhlifu ¨ununana aw tukhayyibu amalana","افَتُرَاكَ يَا رَبِّ تُخْلِفُ ظُنُونَنَا اوْ تُخَيِّبُ آمَالَنَا",,,
"No, never. O Compassionate! This is neither our idea about You","kalla ya kareemu falaysa hadha ¨annuna bika","كَلاَّ يَا كَرِيمُ فَلَيْسَ هٰذَا ظَنُّنَا بِكَ",,,
"nor our desire from You!","wa la hadha feeka tama`una","وَلاَ هٰذَا فِيكَ طَمَعُنَا",,,
"O my Lord, verily we have hope, big and large, in You.","ya rabbi inna lana feeka amalan taweelan katheeran","يَا رَبِّ إِنَّ لَنَا فِيكَ امَلاً طَوِيلاً كَثِيراً",,,
"Verily, we have great expectation in You.","inna lana feeka raja'an `a¨eeman","إِنَّ لَنَا فِيكَ رَجَاءً عَظِيماً",,,
"Albeit that we have disobeyed You, we still hope that You will cover our faults.","`a¥aynaka wa nahnu narju an tastura `alayna","عَصَيْنَاكَ وَنَحْنُ نَرْجُو انْ تَسْتُرَ عَلَيْنَا",,,
"We have prayed You hoping that You will respond to us.","wa da`awnaka wa nahnu narju an tastajeeba lana","وَدَعَوْنَاكَ وَنَحْنُ نَرْجُو انْ تَسْتَجِيبَ لَنَا",,,
"So, give success to our hopes, O our Lord!","fahaqqiq raja'ana mawlana","فَحَقِّقْ رَجَاءَنَا مَوْلانَا",,,
"We now know for sure what we deserve in exchange of our deeds.","faqad `alimna ma tastawjibu bi'a`malina"," فَقَدْ عَلِمْنَا مَا نَسْتَوْجِبُ بِاعْمَالِنَا",,,
"Yet, Your knowledge about us and our knowledge that You shall never let us down","wa lakin `ilmuka feena wa `ilmuna bi'annaka la ta¥rifuna `anka","وَلكِنْ عِلْمُكَ فِينَا وَعِلْمُنَا بِانَّكَ لاَ تَصْرِفُنَا عَنْكَ",,,
"have urged us to desire for You","haththana `ala alrraghbati ilayka","حَثَّنَا عَلَىٰ ٱلرَّغْبَةِ إِلَيْكَ",,,
"even if we do not deserve Your mercy.","wa in kunna ghayra mustawjibeena lirahmatika","وَإِنْ كُنَّا غَيْرَ مُسْتَوْجِبِينَ لِرَحْمَتِكَ",,,
"However, You are the worthiest of conferring upon us and upon the guilty with the grace of Your broad benevolence.","fa'anta ahlun an tajuda `alayna wa `ala almudhnibeena bifali sa`atika","فَانْتَ اهْلٌ انْ تَجُودَ عَلَيْنَا وَعَلَىٰ ٱلْمُذْنِبِينَ بِفَضْلِ سَعَتِكَ",,,
"So, confer upon us with that of which You are worthy","famnun `alayna bima anta ahluhu"," فَٱمْنُنْ عَلَيْنَا بِمَا انْتَ اهْلُهُ",,,
"and act generously towards us, for we are in need for Your conferral.","wa jud `alayna fa'inna muhtajuna ila naylika","وَجُدْ عَلَيْنَا فَإِنَّا مُحْتَاجُونَ إِلَىٰ نَيْلِكَ",,,
"O Oft-Forgiving, in Your light have we found the right path,","ya ghaffaru binurika ihtadayna","يَا غَفَّارُ بِنُورِكَ ٱهْتَدَيْنَا",,,
"due to Your favor have we dispensed with the others,","wa bifalika istaghnayna","وَبِفَضْلِكَ ٱسْتَغْنَيْنَا",,,
"and Your grace have we experienced in morns and eves.","wa bini`matika a¥bahna wa amsayna","وَبِنِعْمَتِكَ اصْبَحْنَا وَامْسَيْنَا",,,
"Our sins are before You;","dhunubuna bayna yadayka","ذُنُوبُنَا بَيْنَ يَدَيْكَ",,,
"we beseech You, O Allah, to forgive them and we repent before You.","nastaghfiruka alllahumma minha wa natubu ilayka","نَسْتَغْفِرُكَ ٱللَّهُمَّ مِنْهَا وَنَتُوبُ إِلَيْكَ",,,
"Whilst You show affection to us through Your graces, we take ourselves away from You through our sins.","tatahabbabu ilayna bilnni`ami wa nu`ariuka bildhdhunubi","تَتَحَبَّبُ إِلَيْنَا بِٱلنِّعَمِ وَنُعَارِضُكَ بِٱلذُّنُوبِ",,,
"You good descend upon us","khayruka nazilun ilayna"," خَيْرُكَ إِلَيْنَا نَازِلٌ",,,
"while our evildoing ascends to You.","wa sharruna ilayka ¥a`idun","وَشَرُّنَا إِلَيْكَ صَاعِدٌ",,,
"Albeit that a noble angel always carries to You our offensive deeds,","wa lam yazal wa la yazalu malakun kareemun ya'teeka `anna bi`amalin qabeehin","وَلَمْ يَزَلْ وَلاَ يَزَالُ مَلَكٌ كَرِيمٌ يَاتِيكَ عَنَّا بِعَمَلٍ قَبِيحٍ",,,
"this has never made you stop encompassing us with Your graces","fala yamna`unka dhalika min an tahutana bini`amika","فَلاَ يَمْنَعُكَ ذٰلِكَ مِنْ انْ تَحُوطَنَا بِنِعَمِكَ",,,
"and conferring upon us your elegances.","wa tatafaalu `alyna bi'ala'ika","وتَتَفَضَّلَ عَلَيْنَا بِآلاَئِكَ",,,
"Glory be to You! How Forbearing, Magnificent,","fasubhanaka ma ahlamaka wa a`¨amaka","فَسُبْحَانَكَ مَا احْلَمَكَ وَاعْظَمَكَ",,,
"and Generous You are at all times!","wa akramaka mubdi'an wa mu`eedan","وَاكْرَمَكَ مُبْدِئاً وَمُعِيداً",,,
"Sacred be Your Names.","taqaddasat asma'uka","تَقَدَّسَتْ اسْمَاؤُكَ",,,
"Grand be Your praise.","wa jalla thana'uka","وَجَلَّ ثَنَاؤُكَ",,,
"Munificent be Your deeds and acts.","wa karuma ¥ana'i`uka wa fee`aluka","وَكَرُمَ صَنَائِعُكَ وَفِعَالُكَ",,,
"You, O my God, are too expansive in graciousness and too great in forbearance","anta ilahee awsa`u falan wa a`¨amu hilman","انْتَ إِلٰهِي اوْسَعُ فَضْلاً وَاعْظَمُ حِلْماً",,,
"to punish me for my evildoings and sins.","min an tuqayisanee bifi`lee wa khatee'atee","مِنْ انْ تُقَايِسَنِي بِفِعْلِي وَخَطِيئَتِي",,,
"(Here I am asking for) Amnesty! Amnesty! Amnesty!","fal`afwa al`afwa al`afwa"," فَٱلْعَفْوَ ٱلْعَفْوَ ٱلْعَفْوَ",,,
"O my Lord! O my Lord! O my Lord!","sayyidee sayyidee sayyidee","سَيِّدِي سَيِّدِي سَيِّدِي",,,
"O Allah, cause us to be engaged with mentioning You,","allahumma ashghilna bidhikrika","اَللَّهُمَّ اشْغَلْنَا بِذِكْرِكَ",,,
"save us from Your wrath,","wa a`idhna min sakhatika","وَاعِذْنَا مِنْ سَخَطِكَ",,,
"deliver us from Your torture,","wa ajirna min `adhabika","وَاجِرْنَا مِنْ عَذَابِكَ",,,
"grant us Your donations,","warzuqna min mawahibika","وَٱرْزُقْنَا مِنْ مَوَاهِبِكَ",,,
"confer upon us with Your grace,","wa an`in `alayna min falika","وَانْعِمْ عَلَيْنَا مِنْ فَضْلِكَ",,,
"and provide us the opportunity to go on pilgrimage to Your House","warzuqna hajja baytika","وَٱرْزُقْنَا حَجَّ بَيْتِكَ",,,
"and to visit the tomb of Your Prophet,","wa ziyarata qabri nabiyyika","وَزِيَارَةَ قَبْرِ نَبِيِّكَ",,,
"may Your blessings, mercy,","¥alawatuka wa rahmatuka","صَلَوَاتُكَ وَرَحْمَتُكَ",,,
"forgiveness, and pleasure be upon him and his Household.","wa maghfiratuka wa riwanuka `alayhi wa `ala ahli baytihee","وَمَغْفِرَتُكَ وَرِضْوَانُكَ عَلَيْهِ وَعَلَىٰ اهْلِ بَيْتِهِ",,,
"Verily, You are nigh and ready to answer.","innaka qareebun mujeebun","إِنَّكَ قَرِيبٌ مُجِيبٌ",,,
"Bless us with acting upon the obedience to You,","warzuqna `amalan bita`atika","وَٱرْزُقْنَا عَمَلاً بِطَاعَتِكَ",,,
"and receive us following the rule of You and Your Prophet,","wa tawaffana `ala millatika wa sunnati nabiyyika","وَتَوَفَّنَا عَلَىٰ مِلَّتِكَ وَسُنَّةِ نَبِيِّكَ",,,
"blessings of Allah be on him and on his Household.","¥alla allahu `alayhi wa `ala alihee","صَلَّىٰ ٱللَّهُ عَلَيْهِ وَعَلَىٰ آلِهِ",,,
"O Allah, forgive me and my parents,","allahumma ighfir lee wa liwalidayya","اَللَّهُمَّ ٱغْفِرْ لِي وَلِوَالِدَيَّ",,,
"and have mercy on them as they cared for me when I was little.","warhamhuma kama rabbayanee ¥agheeran","وَٱرْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيراً",,,
"Reward them generously for their good deeds","ijzihima bil-ihsani ihsanan","إِجْزِهِمَا بِٱلإِحْسَانِ إِحْسَاناً",,,
"and forgive their sins.","wa bilssayyi'ati ghufranan","وَبِٱلسَّيِّئَاتِ غُفْرَاناً",,,
"O Allah, forgive the faithful men and women,","allahumma ighfir lilmu'mineena walmu'minati","اَللَّهُمَّ ٱغْفِرْ لِلْمُؤْمِنِينَ وَٱلْمُؤْمِنَاتِ",,,
"be they alive or dead,","al-ahya'i minhum wal-amwati","ٱلاحْيَاءِ مِنْهُمْ وَٱلامْوَاتِ",,,
"and join us together in bliss and happiness.","wa tabi` baynana wa baynahum bilkhayrati","وَتَابِعْ بَيْنَنَا وَبَيْنَهُمْ بِٱلْخَيْرَاتِ",,,
"O Allah, forgive our living and dead persons,","allahumma ighfir lihayyina wa mayyitina","اَللَّهُمَّ ٱغْفِرْ لِحَيِّنَا وَمَيِّتِنَا",,,
"our present and absent ones,","wa shahidina wa gha'ibina","وَشَاهِدِنَا وَغَائِبِنَا",,,
"our male and female ones,","dhakarina wa unthana","ذَكَرِنَا وَانْثَانَا",,,
"our infants and adults,","¥agheerina wa kabeerina","صَغِيرِنَا وَكَبِيرِنَا",,,
"and our free ones and slaves.","hurrina wa mamlukina","حُرِّنَا وَمَمْلُوكِنَا",,,
"Liars are those who ascribe rivals to Allah;","kadhaba al`adiluna billahi","كَذَبَ ٱلْعَادِلُونَ بِٱللَّهِ",,,
"they have wandered far astray","wa allu alalan ba`eedan","وَضَلُّوٱ ضَلاَلاً بَعِيداً",,,
"and they will have suffered a manifest loss.","wa khasiru khusranan mubeenan","وَخَسِرُوٱ خُسْرَاناً مُبِيناً",,,
"O Allah, send blessings to Muhammad and the Household of Muhammad,","allahumma ¥alli `ala muhammadin wa ali muhammadin","اَللَّهُمَّ صَلِّ عَلَىٰ مُحَمَّدٍ وَآلِ مُحَمَّدٍ",,,
"seal my life with decency,","wakhtim lee bikhayrin","وَٱخْتِمْ لِي بِخَيْرٍ",,,
"help me overcome all that which aggrieves me in this world as well as the Hereafter,","wa ikfinee ma ahammanee min amri dunyaya wa akhiratee","وَٱكْفِنِي مَا اهَمَّنِي مِنْ امْرِ دُنْيَايَ وَآخِرَتِي",,,
"do not let him who does not have mercy upon me prevail on me,","wa la tusallit `alayya man la yarhamunee","وَلاَ تُسَلِّطْ عَلَيَّ مَنْ لاَ يَرْحَمُنِي",,,
"always keep on me an everlasting, protective covering,","waj`al `alayya minka waqiyatan baqiyatan","وَٱجْعَلْ عَلَيَّ مِنْكَ وَاقِيَةً بَاقِيَةً",,,
"do not divest me of the well-mannered graces that You have conferred upon me,","wa la taslubnee ¥aliha ma an`amta bihee `alayya","وَلاَ تَسْلُبْنِي صَالِحَ مَا انْعَمْتَ بِهِ عَلَيَّ",,,
"and provide me, out of Your grace, with lawfully gotten, delightful sustenance.","warzuqnee min falika rizqan wasi`an halalan tayyiban","وَٱرْزُقْنِي مِنْ فَضْلِكَ رِزْقاً وَاسِعاً حَلاَلاً طَيِّباً",,,
"O Allah, keep me under Your alert surveillance,","allahumma ihrusnee biharasatika","اَللَّهُمَّ ٱحْرُسْنِي بِحَرَاسَتِكَ",,,
"protect me with Your support,","wa ihfa¨nee bihif¨ika","وَٱحْفَظْنِي بِحِفْظِكَ",,,
"take care of me with Your comprehensive care,","wa ikla'nee bikala'atika","وَٱكْلَانِي بِكَلاَءَتِكَ",,,
"grant me opportunity to go on pilgrimage to Your Holy House","warzuqnee hajja baytika alharami","وَٱرْزُقْنِي حَجَّ بَيْتِكَ ٱلْحَرَامِ",,,
"in this year as well as all coming years,","fee `amina hadha wa fee kulli `amin","فِي عَامِنَا هٰذَا وَفِي كُلِّ عَامٍ",,,
"grant me to go on pilgrimage to the tombs of Your Prophet and the Imams, peace be upon them,","wa ziyarata qabri nabiyyika wal-a'immati `alayhim alssalamu","وَزِيَارَةَ قَبْرِ نَبِيِّكَ وَٱلائِمَّةِ عَلَيْهِمُ ٱلسَّلامُ",,,
"and do not deprive me, O Lord, of such honorable scenes","wa la tukhlinee ya rabbi min tilka almashahidi alshshareefati","وَلاَ تُخْلِنِي يَا رَبِّ مِنْ تِلْكَ ٱلْمَشَاهِدِ ٱلشَّرِيفَةِ",,,
"and noble situations.","walmawaqifi alkareemati","وَٱلْمَوَاقِفِ ٱلْكَرِيمَةِ",,,
"O Allah, accept my repentance so that I will not disobey you ever again,","allahumma tub `alayya hatta la a`¥iyaka","اَللَّهُمَّ تُبْ عَلَيَّ حَتَّىٰ لاَ اعْصِيَكَ",,,
"inspire me with goodness, good-doing,","wa alhimnee alkhayra wa al`amala bihee","وَالْهِمْنِي ٱلْخَيْرَ وَٱلْعَمَلَ بِهِ",,,
